a	e i
Tigard	t i g a d
Tiger	t a i g ʌ
Tijuana	t i h u a n a
Tikitiki	t i k i tʃ i k i
Tilden	t i l d n
Tillamook	t i l l a m u k
Tillar	t i l l a
Tillman	t i l m ʌ n
Tilton	t i l t ʌ n
Timaru	t i m a l u
Timberville	t i m b ʌ b i l
Timbo	t i m b o
Timbuctoo	t i m b ʌ k t u
time	t a i m
Timken	t i m k e n
Timmins	t i m i n s
Tincup	t i n k ʌ p
Tindall	t i n d o l
Tingley	t i ŋ g l l i
Tinkertown	t i ŋ k ʌ t a u n
Tinsley	t i n s l l i
Tintah	t i n t a
Tioga	t i o g a
Tionesta	t i o n e s t a
tip	t i p
Tiplersville	t i p l l ʌ s b i l
Tippecanoe	t i p e k a n u
Tippo	t i p p o
Tipsaw	t i p s o
Tipton	t i p t ʌ n
Tiptop	t i p t a p
Tira	t i l a
Tirana	t i l a n a
Tirau	t i l a u
tire	t a i ʌ
Tiruchirappali	t i tʃ u l i l a p a l l i
Tisbury	t i s b e l i
Tisdale	t i s d e i l
Tison	t a i s n
titanium	t i t a n j u m
Titusville	t a i t ʌ s b i l
Tiverton	t i b ʌ t ʌ n
Tivoli	t i b o l l i
Tizen	t a i dʒ e n
Tlemcen	t l l e m s e n
tmon	t i m o n
toast	t o s t
Tobias	t o b i a s
Toccoa	t o k o a
Tocsin	t o k s i n
today	t u d e i
todo	t u d u
Todoist	t u d u i s t
Together	t u g e d ʌ
Togiak	h o dʒ i a k
Togo	t o g o
Tokio	t o k i o
Tokoroa	t o k o l o a
Tokushima	t o k u s i m a
Tokyo	t o k j o
Tolchester	t o l tʃ e s t ʌ
Toledo	t o l e d o
Tolland	t o l l ɛ n d
TollandRockville	t o l l ɛ n d
Tolleson	t o l l e s n
Tollette	t o l l e t
Tolley	t o l l i
Tollgate	t o l g e i t
Tollhouse	t o l h a u s
Tolo	t o l l o
Tolstoy	t o l s t o i
Tolu	t o l l u
Toluca	t o l l u k a
Tom	t o m
Tomah	t o m a
Tomahawk	t o m a h o k
tomato	t o m a t o
Tomball	t o m b o l
Tombstone	t u m s t o n
Tomcat	t o m k ɛ t
Tompkins	t o m k i n s
Tompkinsville	t o m k i n s b i l
ton	t o n
Tonawanda	t o n a w a n d a
Tonet	t o n e t
Toney	t o n i
Tonganoxie	t o ŋ g a n o k s i
Tonopah	t o n o p a
Tooele	t u e l
Toone	t u n
Toowoomba	t ʌ u m b a
Topanga	t o p a ŋ g a
Topeka	t o p i k a
topknot	t o m n o t
Toppers	t o p ʌ s
Topsfield	t a p s p i l d
Topsham	t a p s h ɛ m
Topsy	t o p s i
toronto	t o l o n t o
Toronto	t o l o n t o
Torrance	t o l ʌ n s
torrent	t o l e n t
Torrent	t o l e n t
Torreon	t o l e o n
Torrey	t o l i
Torrington	t o l i ŋ t ʌ n
toss	t o s
Tottori	t o t t o l i
touch	t ʌ tʃ i
touchwood	t ʌ tʃ i u d
Toulon	t u l l o ŋ
tour	t u ʌ
Toutle	t ʌ t l
Towaco	t o w a k o
Towanda	t o w a n d a
tower	t a w ʌ
Tower	t a w ʌ
Towner	t a u n ʌ
Townley	t a u l l i
Townsend	t a u n s e n d
Townshend	t a u n s e n d
Townsville	t a u n dʒ b i l
Towson	t o s n
Toxey	t o k s i
Toyah	t o j a
Toyama	t o j a m a
Trabzon	t l a b dʒ o n
trackball	t l ɛ k p o l
tractor	t l ɛ k t ʌ
Tractor	t l ɛ k t ʌ
Tracy	t l e i s i
Tradersville	t l e i d ʌ s b i l
Trafalgar	t l a p ɛ l g a
traffic	t l ɛ p i k
Trafford	t l ɛ p ʌ d
Trail	t l e i l
trailer	t l e i l l ʌ
training	t l e i n i ŋ
Tralee	t l ɛ l l i
Tranquil	t l ɛ n k w i l
transistor	t l ɛ n dʒ i s t ʌ
translator	t l ɛ n s l l e i t ʌ
transmitter	t o l a n s
Transylvania	t l a n s i l b a n i a
Trapp	t l ɛ p
Trappe	t l ɛ p
trash	t l ɛ s w i
travel	t l ɛ b l
traveline	t l ɛ b l l a i n
Traverse	t l ɛ b l s
Travis	t l ɛ b i s
Travisville	t l e b i s b i l
Treadway	t l e d w e i
Treaty	t l i tʃ i
tree	t l i
Treece	t l i s
Trego	t l e g o
trello	t l e l l o
Treloar	t l e l l o a
Tremont	t l e m o n t
Tremonton	t l e m o n t ʌ n
trend	t l e n d
Trent	t l e n t
Trenton	t l e n t ʌ n
Trevor	t l e b ʌ
Treynor	t l e i n ʌ
Triadelphia	t l a i d e l p i a
trial	t l a i ʌ l
Triana	t l i a n a
Triangle	t l a i ɛ ŋ g l
Tribbey	t l i b i
Tribune	t l i b j u n
Trieste	t l i e s t e
trigger	t l i g ʌ
Trilacoochee	t l i l l a k u tʃ i
Trilby	t l i l b i
Trimble	t l i m b l
Trinidad	t l i n i d a d
Trinity	t l i n i tʃ i
Trinway	t l i n w e i
Trion	t l a i ʌ n
Triplett	t l a i p l l e t
Tripp	t l i p
Triumph	t l a i ʌ m p
Trona	t l o n a
Trondheim	t l o n h a i m
Tropic	t l o p i k
Trosky	t l o s k i
Trotwood	t l o t u d
Troup	t l u p
Troupsburg	t l u p s b ʌ g
Trousdale	t l a u s d e i l
Trout	t l a u t
Troutdale	t l a u t d e i l
Troutman	t l a u t m ɛ n
Trowbridge	t l o u b l i dʒ i
Troy	t l o i
truck	t l ʌ k
Truckee	t l ʌ k i
Trudie	t l u dʒ i
True	t l u
Truesdale	t l u s d e i l
truetype	t l u t a i p
Truman	t l u m ʌ n
Trumann	t l u m ʌ n
Trumbull	t l ʌ m b u l
trunk	t l ʌ ŋ k
Truro	t l u l o
Trussville	t l ʌ s b i l
trust	t l ʌ s t
Truxton	t l ʌ k s t ʌ n
try	t l a i
Tryon	t l a i ʌ n
Tualatin	t u a l l a tʃ i n
Tucke	t ʌ k
Tuckerman	t ʌ k ʌ m ɛ n
Tucson	t u s a n
Tucumcari	t u k ʌ m k a l i
Tukwila	t u k w i l l a
Tulare	t u l l e ʌ
Tulelake	t u l l e i k
tulip	t j u l i p
Tull	t u l
Tullahoma	t ʌ l l ʌ h o m a
Tully	t u l l i
Tulsa	t u l s a
Tumtum	t ʌ m t ʌ m
Tumwater	t ʌ m w ʌ t ʌ
Tunas	t j u n ʌ s
Tunbridge	t ʌ n b l i dʒ i
tungsten	t ʌ ŋ s t e n
Tunica	t j u n i k a
Tunis	t w i n i dʒ
Tunisia	t j u n i dʒ i a
tunnel	t ʌ n ʌ l
Tupelo	t u p e l l o
Turin	t j u l i n
Turkey	t ʌ k i
Turkeytown	t ʌ k i t a u n
Turkmenistan	t u l k m e n i s t a n
Turlock	t ʌ l l o k
Turner	t ʌ n ʌ
Turners	t ʌ n ʌ s
Turpin	t ʌ p i n
Turrell	t ʌ l e l
Turret	t j u l e t
Turtle	t ʌ t l
Tuscaloosa	t ʌ s k ʌ l l u s a
Tuscarora	t u s k a l o l a
Tuscola	t ʌ s k o l l a
Tusculum	t ʌ s k ʌ l l ʌ m
Tuscumbia	t ʌ s k ʌ m b i a
Tuskegee	t ʌ s k i g i
Tusten	t j u s t ʌ n
Tustin	t ʌ s tʃ i n
Tuthill	t u t h i l
Tuttle	t ʌ t l
Tuxedo	t ʌ k s i d o
tv	t i b i
TV	t i b i
Twig	t w i k
Twilight	t w a l l a i t
Twinsburg	t w i n s b ʌ g
Twisp	t w i s p
twist	t w i s t
twitter	t w i t ʌ
Twitty	t w i tʃ i
Twizel	t w a i dʒ e l
two	t u
Tyaskin	t j a s k i n
Tyler	t e i l l ʌ
Tylersville	t a i l l ʌ s b i l
Tyndall	t i n d l
Tyner	t a i n ʌ
Tyngsborough	t i ŋ s b ʌ l ʌ
type	t a i p
typhus	t i p u s
Tyre	t a i ʌ
Tyro	t a i l o
Tyrone	t a i l o n
u	j u
Ube	u b e
uber	u b ʌ
Uber	u b ʌ
Ubiquitous	j u b i k w ʌ t ʌ s
Ucon	j u k o n
Udell	ʌ d e l
UFC	j u e p s i
ufo	j u e p o
Uganda	u g a n d a
Uintah	w i n t a
Ukiah	j u k i a
Ukraine	u k l a i n a
Ula	u l l a
Ulaanbaatar	u l l a n b a t a l
Ulah	u l l a
Ulm	u l l m
Ulman	u l m ʌ n
Ulster	ʌ l s t ʌ
Ultra	u l t l a
Ulysses	j u l l i s i s
Umatac	u m a t a k
Umatilla	u m a tʃ i l l a
Umiat	u m i a t
Umpqua	ʌ m p k w a
Umtata	m t a t a
UN	j u e n
Una	u n a
Unadilla	u n a dʒ i l l a
Unalakleet	u n a l l a k l l i t
Unalaska	u n a l l ɛ s k a
unbind	ʌ n b a i n t
Uncertain	ʌ n s ʌ t ʌ n
undead	ʌ n d e d
under	ʌ n d ʌ
Undercover	ʌ n d ʌ k ʌ b ʌ
Underhill	ʌ n d ʌ h i l
underlying	ʌ n d ʌ l a i ŋ
Underwood	ʌ n d ʌ u d
Uneeda	j u n i d a
UNESCO	j u n e s k o
Unger	u ŋ g ʌ
unhappy	ʌ n h ɛ p i
unicast	j u n i k ɛ s t
UNICEF	j u n i s e p
unicode	j u n i k o d
Unicode	j u n i k o d
unicorn	j u n i k o n
uniform	j u n i p o m
uninstall	ʌ n i n s t o l
union	j u n i ʌ n
Union	j u n i ʌ n
Uniondale	j u n i ʌ n d e i l
Uniontown	j u n i ʌ n t a u n
Unionville	j u n i ʌ n b i l
unit	j u n i t
unity	j u n i tʃ i
Unity	j u n i tʃ i
UNIVAC	j u n i b a k
Universal	j u n i b ʌ s ʌ l
universe	j u n i b ʌ s
University	j u n i b ʌ s i tʃ i
Unix	j u n i k s
unknown	ʌ n n o u n
Uno	u n o
up	ʌ p
update	ʌ p t e i t
upgrade	ʌ p k l e i d
Upham	ʌ p ɛ m
Upkorea	ʌ p k o l i a
Upland	ʌ m n ɛ n d
upload	ʌ m n o d
Upsala	ʌ p s a l l a
Upson	ʌ p s n
Upton	ʌ p t ʌ n
Uralsk	u l a l s k
uranium	u l a n j u m
Urbana	ʌ b ɛ n ʌ
Urbandale	ʌ b ʌ n d e i l
Urbank	ʌ b ɛ ŋ k
Urbanna	u b a n a
Uriah	j u l a i ʌ
Urich	j u l i tʃ i
Uruguay	u l u g w a i
Ury	j u l a i
Used	j u dʒ d
Usenet	j u dʒ n e t
user	j u dʒ ʌ
useware	j u dʒ w e ʌ
Usher	ʌ s j ʌ
using	j u dʒ i ŋ
Usk	u s k
Utah	j u t a
Ute	j u t
Utica	j u tʃ i k a
util	j u tʃ i l
Utopia	j u t o p i a
Utopian	j u t o p i a n
Uxbridge	ʌ dʒ b l i dʒ i
Uzbekistan	u dʒ b e k i s t a n
v	p i
Vaasa	p a s a
vacance	p a k a ŋ s
Vacaville	p ɛ k ʌ b i l
vaccine	p ɛ k s i n
Vader	p e i d ʌ
Vadis	p ɛ dʒ i s
Vail	p ɛ i l
Valdese	p a l d e dʒ
Valdez	p ɛ l dʒ i dʒ
Valdosta	p a l d o s t a
Valencia	p a l l e n s i a
Valentine	p ɛ l l ʌ n t a i n
Valeria	p a l l e l i a
Valier	p a l l i ʌ
Valle	p a l l i
Vallejo	p a l l e i o
Valley	p ɛ l l i
Valliant	p ɛ l l i ʌ n t
Vallscreek	p o l s k l i k
Valmy	p a l m i
Valona	p ɛ l l o n a
Valparaiso	p a l p a l e i s o
Value	p e l l j u
valve	p e l b
Valyermo	p ɛ l l i ʌ m o
vampire	p ɛ m p a i ʌ
Van	p ɛ n
vanadium	p a n a dʒ j u m
Vance	p ɛ n s
Vancleve	p ɛ n k l l i b
Vancourt	p ɛ n k o t
Vancouver	p ɛ n k u b ʌ
Vandalia	p e n d ɛ l l i a
vandalism	p a n d a l l i dʒ m
Vandemere	p ɛ n dʒ i m i ʌ
Vandenbroek	p ɛ n d n b l o k
Vanderpool	p a n d ʌ p u l
Vandervoort	p ɛ n d ʌ b u t
Vangale	p e n k e i l
vanilla	p a n i l l a
Varadero	p a l a d e l o
Varanasi	p a l a n a s i
Varick	p a l i k
variety	p ʌ l a i ʌ tʃ i
Varnamtown	p a n ɛ m t a u n
Varnell	p a n e l
Varney	p a n i
Vaselin	w a s e l l i n
vaseline	p a s e l l i n
Vashti	p ɛ s i tʃ i
Vass	p ɛ s
Vassar	p a s a l
vatican	p a tʃ i k a n
Vaucluse	p o k l l w i dʒ
Vaughan	p o g ʌ n
Vaughn	p o n
Veblen	p e b l l ʌ n
veil	p e i l
Velma	p e l m a
Velva	p e l b a
Venada	p e n a d a
Venator	p e n a t o l
Vendor	p e n d ʌ
veneer	p e n i ʌ
Veneta	p e n e t a
Venezuela	p e n e s u e l l a
Venice	p e n i s
Ventucopa	p e n t u k o p a
Ventura	p e n t u l a
venture	p e n tʃ ʌ
Venturia	p e n tʃ u l i a
Venus	p i n ʌ s
Vera	p e l a
veranda	p e l a n d a
Verbena	p e l b e n a
Verden	p ʌ d n
Verdie	p ʌ dʒ i
Verdun	p e l d w e ŋ
Vergas	p ʌ g a s
Vergennes	p ʌ g e n s
Veribest	p e l i b e s t
Vermilion	p ʌ m i l l i ʌ n
Vermillion	p ʌ m i l l i ʌ n
Vermont	p ʌ m o n t
Verna	p e l n a
Vernal	p ʌ n ʌ l
Vernalis	p ʌ n e l l i s
Vernon	p ʌ n ʌ n
Vernonia	p e l n o n i a
Verona	p e l o n a
Versailles	p ʌ s e i l dʒ
Vershire	p ʌ s j ʌ
version	p ʌ dʒ ʌ n
Vest	p e s t
Vestal	p e s t ʌ l
veteran	p e t e l a ŋ
Veyo	p e j o
Vian	p i ʌ n
Viburnum	p a i b ʌ n ʌ m
Vicco	p i k k o
Vici	p i tʃ i
Vick	p i k
Vickery	p i k ʌ l i
Vicksburg	p i k s b ʌ g
Victor	p i k t ʌ
Victoria	p i k t o l i a
Victorville	p i k t ʌ b i l
victory	p i k t o l i
Victory	p i k t o l i
Vida	p i d a
Vidalia	p i d e i l l i a
video	p i dʒ i o
Vidette	p i d e t
Vidor	p i d ʌ
Vienna	p i e n n a
Vientiane	p i e n tʃ i e n
Vietnam	p e t n a m
View	p j u
viewer	p j u ʌ
Viking	p a i k i ŋ
Vilas	p i l l a s
villa	p i l l a
village	p i l l i dʒ i
Village	p i l l i dʒ i
Villahermosa	p i j a e l m o s a
Villanova	p i l l a n o b a
Villanueva	p i l l a n u e b a
Villard	p i l l a d
Villisca	p i l l i s k a
Vilnius	p i l l i u s
Vilonia	p i l l o n i a
Vina	p i n a
Vinalhaven	p a i n ʌ l h e i b n
Vincennes	p i n s e n e s
Vincent	p i n s e n t
Vineburg	p a i n b ʌ g
Vineland	p a i l l ɛ n d
Vineyard	p a i n j a d
Vining	p i n i ŋ
Vinita	p i n i t a
Vinland	p i l l ɛ n d
Vinson	p i n s n
vintage	p i n tʃ i dʒ i
Vinton	p i n t ʌ n
vinyl	p i n i l
viola	p i o l l a
Viola	p a i o l l a
Violet	p a i o l l e t
violin	p a i o l l i n
violinist	p a i o l l i n i s t
Virden	p ʌ d n
Virgie	p ʌ dʒ i
Virgil	p ʌ dʒ i l
virgin	p ʌ dʒ i n
Virgin	p ʌ dʒ i n
Virginia	p ʌ dʒ i n i a
Viroqua	p i l o k w a
virus	p a i l ʌ s
visa	p i dʒ a
Visalia	p i s a l l i a
Vishakhapatanam	p i s j a k a p a t n a m
vision	p i dʒ ʌ n
Vista	p i s t a
Vistula	p i s t u l l a
visual	p i dʒ u ʌ l
vitamine	p i t a m i n
Vitoria	p i t o l i a
Vivian	p i b i a n
Vladivostok	p l l a dʒ i b o s t o k
Voca	p o k a
vocal	p o k ʌ l
vodka	w ʌ d k a
vogue	p o g
Volcano	p o l k e i n o
Volga	p o l g a
Volin	p o l l i n
Volney	p o l l i
Voltaire	p o l t e ʌ
voltmeter	p o l t m i t ʌ
volume	p o l l j u m
Volunteer	p a l l u n tʃ i ʌ
Volusia	p o l l u s i a
Vona	p o n a
Votaw	p o t o
Vredenburgh	p l e d e n b ʌ g
Vulcan	p ʌ l k a n
w	t ʌ b l j u
Wabash	w ʌ b ɛ s i
Wabasha	w a b a s j a
Wabeno	w a b i n o
Wabun	w ʌ b ʌ n
Wabush	w a b u s i
Wacissa	w a s i s a
Waco	w a k o
Waconia	w a k o n i a
Waddell	w ʌ d e l
Wade	w e i d
Wadsworth	w ʌ dʒ w ʌ s
Waelder	w e l d ʌ
waffle	w a p l
wag	w ɛ g
wage	w e i dʒ i
Wagner	w a g n ʌ
Wagoner	w a g o n ʌ
Wagram	w ʌ g l ɛ m
Waha	w a h a
Wahoo	w a h u
Wahpeton	w a p e t ʌ n
Waihi	w a i h i
Waikato	w a i k a t o
Wailuku	w a i l l u k u
Waimarama	w a i m a l a m a
Waimate	w a i m a t e
Wainwright	w e i l l a i t
Wairarapa	w a i l a l a p a
Wairoa	w a i l o a
waist	w e ʌ s t
Waitakere	w a i t a k e l e
Waitangi	w a i t a ŋ g i
Waitara	w a i t a l a
Waite	w e i t
waiter	w e i t ʌ
waitress	w e i t l i s
Waiuku	w a i u k u
WAJIMA	w a dʒ i m a
Wakatomika	w a k a t o m i k a
WaKeeney	w a k i n i
Wakefield	w e i k p i l d
Wakita	w a k i t a
Wakonda	w a k o n d a
Wakulla	w a k u l l a
Walbo	w a l b o
Walburg	w ʌ l b ʌ g
Walcott	w ʌ l k o t
Walden	w ʌ l d n
Waldo	w a l d o
Waldoboro	w a l d o b ʌ l o
Waldorf	w ʌ l d o p
Waldport	w ʌ l d p o t
Waldron	w ʌ l d l ʌ n
Waldwick	w ʌ l d w i k
Wales	w e i l s
Walhalla	w ʌ l h a l l a
Walker	w ʌ k ʌ
Walkersville	w ʌ k ʌ s b i l
Walkerton	w ʌ k ʌ t ʌ n
Walkerville	w ʌ k ʌ b i l
walking	w ʌ k i ŋ
walkingrace	w ʌ k i ŋ n e i s
Wallace	w ʌ l l ʌ s
Walland	w ʌ l l ɛ n d
Wallback	w ʌ l b ɛ k
Wallburg	w ʌ l s b ʌ g
wallet	w ʌ l l e t
Wallingford	w ʌ l l i ŋ p o d
Wallis	w ʌ l l i s
Wallkill	w ʌ l k i l
Wallonia	w a l l o n i a
Wallowa	w a l l o w a
Walnut	w ʌ l l ʌ t
Walpole	w ʌ l p o l
Walsh	w ʌ l s i
Walter	w ʌ l t ʌ
Walters	w ʌ l t ʌ s
Waltham	w ʌ l s ʌ m
Walton	w ʌ l t ʌ n
waltz	w a l tʃ
Walworth	w ʌ l w ʌ s
Wamego	w a m i g o
Wamsutter	w ʌ m s ʌ t ʌ
Wana	w a n a
Wanaka	w a n a k a
Wanatah	w a n a t a
Wanda	w a n d a
wander	w a n t ʌ
Wanganui	w a ŋ g ʌ n u i
Wanlock	w a l l o k
Wann	w a n
want	w ʌ n t
wanted	w ʌ n tʃ i d
Wapakoneta	w a p a k o n e t a
Wapiti	w a p i tʃ i
Wappapello	w a p p a p e l l o
war	w ʌ
War	w ʌ
Warba	w a b a
warcraft	w ʌ k l ɛ p t
Warcraft	w ʌ k l ɛ p t
Ward	w ʌ d
Warden	w ʌ d n
Ware	w e ʌ
Wareham	w e ʌ h ɛ m
warez	w a l e dʒ
Warfield	w ʌ p i l d
Waring	w ʌ l i ŋ
Warkworth	w ʌ k w ʌ s
Warman	w ʌ m ʌ n
Warne	w ʌ n
Warner	w ʌ n ʌ
Warnock	w ʌ n o k
Warren	w ʌ l ʌ n
Warrensburg	w ʌ l e n s b ʌ g
Warrenville	w ʌ l ʌ n b i l
Warrior	w ʌ l i ʌ
Warroad	w ʌ l o d
Warsaw	p a l s j a b a
Wartburg	w a t b ʌ g
Warthen	w ʌ d e n
Warwick	w ʌ l i k
Warwood	w ʌ u d
Wasco	w a s k o
Waseca	w a s e k a
wash	w ʌ s i
Washburn	w ʌ s i b ʌ n
Washington	w ʌ s i ŋ t ʌ n
Washougal	w ʌ s j o g ʌ l
washstand	w ʌ s i s t ɛ n d
Washta	w a s i t a
Washtucna	w ʌ s i t ʌ k n a
Wasilla	w a s i l l a
Wasola	w a s o l l a
Wasson	w a s n
Wasta	w a s t a
watch	w ʌ tʃ i
water	w ʌ t ʌ
waterbuck	w ʌ t ʌ b ʌ k
Waterbury	w ʌ t ʌ b e l i
Waterfall	w ʌ t ʌ p o l
Waterford	w ʌ t ʌ p o d
Waterlily	w ʌ t ʌ l i l l i
Waterloo	w ʌ t ʌ l l u
watermark	w ʌ t ʌ m a k
waterproof	w ʌ t ʌ p l u p
Waterproof	w ʌ t ʌ p l u p
Watertown	w ʌ t ʌ t a u n
Waterview	w ʌ t ʌ b j u
Waterville	w ʌ t ʌ b i l
Watervliet	w ʌ t ʌ b l l i t
Watha	w a s a
Watkins	w a t k i n s
Watkinsville	w a t k i n s b i l
Watseka	w a t s e k a
Watson	w a t s n
Watsonville	w a t s n b i l
Wattenburg	w ʌ t n b ʌ g
Watts	w a tʃ
Wattsville	w a tʃ b i l
Wauchula	w a u k u l l a
Wauconda	w ʌ k o n d a
Waugh	w a p
Waukau	w ʌ k o
Waukee	w ʌ k i
Waukegan	w a k i g ʌ n
Waukesha	w ʌ k e s j a
Waukomis	w a k o m i s
Waukon	w a u k o n
Waupaca	w ʌ p a k a
Waupun	o p ʌ n
Wausau	w a u s a
Wauseon	o s ʌ n
Wauwatosa	w ʌ w a t o s a
wave	w e i b
Waveland	w e i b l ɛ n d
Waverly	w e i b ʌ l l i
Waves	w e i b dʒ
Wawayanda	w ʌ w e i j a n d a
Wawona	w a w ʌ n a
Waxahachie	w a k s a h ɛ tʃ i
Waxhaw	w a k s h o
way	w e i
Waycross	w e i k l o s
Wayland	w e i l l ɛ n d
Wayne	w e i n
Waynesboro	w e i n s b ʌ l ʌ
Waynesburg	w e i n dʒ b ʌ g
Waynesville	w e i n dʒ b i l
Wayzata	w e i dʒ a t a
WC	t ʌ b l j u s i
wear	w e ʌ
Weare	w i ʌ
Weatherby	w e d ʌ b i
Weatherford	w e d ʌ p o d
Weathers	w e d ʌ s
Weave	w i b
Weaver	w i b ʌ
Weaverville	w i b ʌ b i l
web	w e p
Webaholic	w e p o l l i k
Webb	w e p
WebBench	w e p p e n tʃ i
Webber	w e b ʌ
Webbtown	w e p t a u n
Weber	w i b ʌ
webhard	w e p a d
WebPad	w e p p ɛ d
website	w e p s a i t
Webster	w e p s t ʌ
Webster's	w e p s t ʌ dʒ
wedding	w e dʒ i ŋ
Weddington	w e dʒ i ŋ t ʌ n
Wedowee	w e d o w i
Weed	w i d
Weeksboro	w i k s b ʌ l ʌ
Weems	w i m dʒ
Wego	w i g o
weight	w e ʌ t
Weimar	w e i m a
Weiner	w a i n ʌ
Weingarten	w a i n g a l t n
Weippe	w e i p
Weirton	w a i ʌ t ʌ n
Weiser	w a i dʒ ʌ
Welaka	w e l l a k a
Welch	w e l tʃ i
welcome	w e l k ʌ m
Welcome	w e l k ʌ m
Weld	w e l d
Weldon	w e l d ʌ n
Welfare	w e l p e ʌ
Welge	w e l dʒ i
Wellborn	w e l b o n
Wellesley	w e l dʒ l l i
Wellfleet	w e l p l l i t
Wellington	w e l l i ŋ t ʌ n
Wellman	w e l m ʌ n
Wellpinit	w e l p i n i t
Wells	w e l s
Wellsford	w e l s p ʌ d
Wellston	w e l s t ʌ n
Wellsville	w e l s b i l
Wellton	w e l t ʌ n
Welsh	w e l s i
welter	w e l t ʌ
Welton	w e l t ʌ n
Wenatchee	w i n ɛ t tʃ i
Wendel	w e n d e l
Wendell	w e n d e l
Wendover	w e n d o b ʌ
Wenham	w e n h ɛ m
Wenona	w i n o n a
Wentworth	w e n t w ʌ s
Wentzville	w e n tʃ b i l
Weott	w i o t
Werth	w ʌ s
Wesco	w e s k o
Wesley	w e s l l i
Wessington	w e s i ŋ t ʌ n
Wesson	w e s n
west	w e s t
West	w e s t
Westboro	w e s t b ʌ l ʌ
Westborough	w e s t b ʌ l ʌ
Westbrook	w e s t b l u k
Westcliffe	w e s t k l l i p
Western	w e s t ʌ n
Westernport	w e s t ʌ n p o t
Westervelt	w e s t ʌ b e l t
Westerville	w e s t ʌ b i l
Westfield	w e s t p i l d
Westford	w e s t p o d
Westgate	w e s t g e i t
Westhampton	w e s t h ɛ m p t ʌ n
Westhoff	w e s t h o p
Westlake	w e s t l e i k
Westland	w e s t l ɛ n d
Westminster	w e s t m i n s t ʌ
Westmoreland	w e s t m o ʌ l ɛ n d
Westmorland	w e s t m o ʌ l ɛ n d
Weston	w e s t ʌ n
Westover	w e s t o b ʌ
Westphalia	w e s t p a l l i a
Westport	w e s t p o t
Westside	w e s t s a i d
Westsound	w e s t s a u n d
Westville	w e s t b i l
Westwego	w e s t w e g o
Westwood	w e s t u d
Wethersfield	w e d ʌ s p i l d
Wetumka	w i t u m k a
Wetumpka	w e t u m k a
Wever	w i b ʌ
Wewahitchka	w e w a h i tʃ i k a
Wewoka	w i w ʌ k a
Weybridge	w e i b l i dʒ i
Weyburn	w e i b ʌ n
Weymouth	w e i m ʌ s
Whakatane	h w a k a t a n e
Whalan	h w a l l a n
Whangarei	h w a ŋ g ʌ l e i
Wharncliffe	w ʌ n k l l i p
Wharton	w a t n
what	w a t
Whately	w e i t l l i
Wheat	h w i t
Wheatfield	h w i t p i l d
Wheatland	w i t l l ɛ n d
Wheatley	h w i t l l i
Wheatly	h w i t l l i
Wheaton	h w i t ʌ n
wheelchair	h w i l tʃ e ʌ
Wheeler	h w i l l ʌ
Wheeling	h w i l l i ŋ
Wheelock	h w i l o k
Wheelwright	h w i l l a i t
Whetstone	w e t s t o n
Whippany	w i p p ɛ n i
Whipple	h w i p l
whisky	w i s k i
whistle	h w i s l
Whistler	h w i s l l ʌ
Whitacre	h w i t ɛ k ʌ
Whitakers	h w i t ɛ k ʌ s
Whitby	h w i t b i
White	h w a i t
Whiteface	h w a i t p e i s
Whitefield	h w a i t p i l d
Whitefish	h w a i t p i s w i
Whitehall	h w a i t h o l
Whitehaven	h w a i t h e i b n
Whitehorse	h w a i t h o s
Whitehouse	h w a i t h a u s
Whiteland	h w a i t l ɛ n d
Whiteon	h w a i t o n
Whiteside	h w a i t s a i d
Whiteson	h w a i t s ʌ n
Whitestone	h w a i t s t o n
Whitestown	h w a i tʃ t a u n
Whitethorn	h w a i t s o n
Whiteville	h w a i t b i l
Whitewater	h w a i t w ʌ t ʌ
Whitewood	h w a i t u d
Whitewright	h w a i t l a i t
Whitfield	h w a i t p i l d
Whiting	h w a i tʃ i ŋ
Whitman	h w i t m ʌ n
Whitmore	h w i t m o ʌ
Whitney	h w i t n i
Whitsett	h w i t s e t
Whitt	h w i t
Whittemore	h w i t m o ʌ
Whitten	h w i t n
Whittier	h w i tʃ i ʌ
who	h u
why	w a i
Why	w a i
Whyalla	h w a i ɛ l l a
Whynot	w a i n a t
Wibaux	w i b o
Wichita	w i tʃ i t o
Wick	w i k
Wickatunk	w i k a t ʌ ŋ k
Wickenburg	w i k e n b ʌ g
Wickes	w i k i s
Wickliffe	w i k l l i p
wide	w a i d
Widen	w a i d n
Widener	w a i d n ʌ
Wien	p i n
Wiggins	w i g i n s
Wikieup	w i k i ʌ p
Wikileaks	w i k i l i k s
wikipedia	w i k i p i dʒ i a
WikiWiki	w i k i w i k i
Wilber	w i l b ʌ
Wilbraham	w i l b l ʌ h ʌ m
Wilbur	w i l b ʌ
Wilcox	w i l k o k s
wild	w a i l d
Wilder	w a i l d ʌ
Wildomar	w i l d o m a
Wildrose	w a i l d l o dʒ
Wildwood	w a i l d u d
Wiley	w i l l i
Wilkesboro	w i l k s b ʌ l ʌ
will	w i l
Willard	w i l l ʌ d
Willcox	w i l k o k s
Willet	w i l l e t
Willey	w i l l i
William	w i l l i ʌ m
Williams	w i l l i ʌ m s
Williamsburg	w i l l i ʌ m dʒ b ʌ g
Williamsfield	w i l l i ʌ m s p i l d
Williamson	w i l l i ʌ m s n
